Answer,Enumeration,Clue,Grid Number
DISCOMBOBULATED,15,Addled detective's group meeting friend over disheartened coffee,137
MIRE,4,Military intelligence concerning Slough,138
UGLY,4,Liberal guy awfully unpleasant to watch,138
CURRY,5,Groom's spicy meal,138
TRYST,5,Go by road for illicit rendezvous,138
PANDA,5,Charismatic megafauna at both ends of peninsula?,138
TEMPT,5,English politician wearing casual shirts as dare,138
LUMMOX,6,Bewilder topless fool,138
PRONTO,6,Expert not playing quickly,138
ADORES,6,"Loves publicity or even scandal, at first",138
MALADY,6,Complaint from married woman receiving answer,138
ENGRAVE,7,Avenger managed to impress,138
CYNICAL,7,Defeatist in charge during uprising of two US cities,138
BACKFIRE,8,Support can go wrong,138
COREGENT,2-6,Middle-man is one of many interim governors,138
APOSTLES,8,Send through alcoholic drinks for messengers,138
MANTOMAN,3-2-3,Frank's mother and grandmother acquiring cat,138
JAYWALLER,9,Middle-of-the-road criminal?,138
MAGNOLIAS,9,Animals go wild for these flowers,138
INSOMNIAC,9,One up all night in dodgy Malta casino,138
POTBOILER,9,Italian river worker pens book—hardly a classic,138
INCENDIARY,10,Provocative journal written by Vincent discovered,138
PLAYWRIGHT,10,Author's predicament involving a Yankee writer on vacation,138
JACKETPOTATO,"6,6",One baked sailor gets extremely private tattoo redesigned,138
CRITICALMASS,"8,4",Censorious church service just enough to provoke a reaction,138
THREEPOINTTURN,"5-5,4",Manoeuvre open their terribly alcohol-free vessel,138
CLOAKANDDAGGER,5-3-6,"Using espionage, gang deadlock dealt with, implicating a radical",138
WILL,4,Decree read in passing?,139
HOOD,4,Love Oscar wearing finely-detailed headgear,139
MAID,4,Spymaster can barely identify hotel staffer,139
JOHN,4,Jack operating around higher-up's earliest convenience,139
ROBIN,5,Steal from popular singer,139
CARGO,5,Freight from Cuba on Greek boat,139
NOTCH,5,"Finally, in overtime Switzerland score",139
OFFED,5,Iced coffee discovered by pioneer in dining?,139
LITTLE,6,Minor's drunk at outlet?,139
DAMAGE,6,Silver infecting lady's wound,139
TINGLE,6,Exhilarating leap provides bodily thrill,139
MARIAN,6,Married heretic related to the mother of Christ,139
RECITAL,7,Showcase cartel I sabotaged,139
ASININE,7,Buffoonish revolutionary is a 9,139
SCARLET,7,Small hat worn by learner is bright red,139
SHERIFF,7,Lawman is somewhat harsher if frustrated,139
OCARINA,7,Replaced air-con with top-grade instrument,139
NOCANDO,"2,3,2",Party that's bottled-drinks only? Impossible!,139
BULLISH,7,Optimistic about evil being suppressed by US president,139
RAINOUT,"4,3","Austria elected to stop humiliating defeat, postpone game",139
ROASTING,8,Making fun of terrible organist,139
FLATFISH,8,Flounders perhaps in apartment search,139
SHERWOOD,8,That lady getting cross about work in forest,139
CHEERFUL,8,Merry chef acquires drug resistance with hollow utensil,139
REDUNDANT,9,Extra-brown boring bloody insect,139
MINCEMEAT,9,"Mate cryptically mixed fruit, spices and sugar for filling?",139
SUNFLOWER,9,"Oil supplier in league with debtor, underwriting sulfur for everyone",139
STRETCHER,9,"Beginning to show temperature, throw up next to emergency room's hospital equipment",139
WOODCUTTER,10,"Feller from US capital attending court, say",139
NOTTINGHAM,10,City's knight condemned tonight before morning,139
RESCHEDULE,10,Change plans regarding school runaway being held back,139
RESOLUTELY,10,Bank accepts standing order left at pick-up with confidence,139
VIBE,4,Struggle to hide black mood,140
OATH,4,"Two sides of the same coin, with core of loyalty and love, lifted curse",140
TASTE,5,Just a little discrimination?,140
PRIOR,5,Monastic higher-up's past crime,140
ITALY,5,Nation engaged in extramarital 'yoo-hooing',140
UNFIT,5,Force charges soldiers for lacking training,140
HYPER,5,Extremely active propaganda radio's beginnng,140
OUTDO,5,Trump's so suited to getting regularly dumped,140
NADIR,5,Some in a dire situation that can't get any worse,140
TONIC,5,Essential ingredient replaced by nitrogen in poisonous medicine,140
EMPIRE,6,Dominion of Ireland visited by politician,140
DUSTUP,4-2,Fight unresolved sexual tension during party,140
ONHOLD,"2,4",Postponed redevelopment of most of London hotel,140
ARGYLE,6,Sent back sample of counterproductively grandmotherly knitting pattern,140
PROVERB,7,Demonstrate rubidium saw,140
GALLEON,7,Brass piece of eight on ship,140
TURNOVER,8,Revenue from pastry,140
BOOTCAMP,"4,4",Bravo at Potomac organised military induction,140
NEFERTITI,9,Queen's entire fit retailored,140
TRADESMAN,9,Retailer's ridiculous damn rates,140
ONTHEBALL,"2,3,4","Dribbling, perhaps, but fully alert?",140
RESILIENT,9,Tough mum protects one after evacuation of Rome,140
INEARNEST,"2,7","All joking aside, blowing cover hit close to home",140
PRIESTESS,9,Holy woman persists in performance after taking drug,140
EXPLETIVE,9,"Function allowed 4 to meet prince at last, or 5 {OATH}?",140
MISHANDLE,9,Ineffectively deal with unit drinking most of beer and lemonade,140
PROPERTIES,10,Characteristics of appropriate neckwear,140
CASSIOPEIA,10,Reproduction of Picasso that is upside down with a constellation,140
UNCOMPROMISING,14,"Grim flanks approach endlessly, refusing to yield",140
BURYTHEHATCHET,"4,3,7","Condemn that butchery, arresting that man, and make peace",140
VIE,3,Compete against Ireland,141
GOA,3,State detailed objective,141
SIR,3,Gentleman rarely attending Savile Row,141
COY,3,Refusing to give a straight answer or firm yes,141
PROD,4,Poke with end of sharp stick,141
NUMB,4,Unfeeling spymaster breaking heart,141
FEAT,4,Iron Lady's second true tour de force,141
COIF,4,Commanding officer provided miliary headgear,141
DATED,5,Spent time wearing father's old hat,141
HAVOC,5,Chaos as hardworking Americans vote out country's leaders,141
NUANCE,6,Subtlety is not shown by bothersome person,141
SCHIST,6,Switzerland is surrounded by stone and rock,141
VELVET,6,Antler material checked by travel veterinarian,141
MUSTER,6,Absolute necessity to attend the Queen's military parade,141
HOMECOMING,10,Setter gets drunk by mooching off highschool event,141
UNATTACHED,10,United Nations diplomat died without a significant other,141
MAILINGLIST,"7,4",Those selected for company's post?,141
VICHYSSOISE,11,Soup made with chives and soy is horrendous,141
MACHINATION,11,Mother country gets into complicated conspiracy,141
NAILVARNISH,"4,7",Overhaul of Irish naval squadron ultimately cosmetic,141
ARES,4,Deity with floppy ears,142
STOW,4,Stash hidden in Caithness town,142
BASS,4,Deep in dictator's headquarters,142
SKIT,4,Small baby ferret needed for bit of comedy,142
ROMP,4,Boisterious caper with ball quietly delayed,142
LUSH,4,Drunkard with reddened complexion going topless,142
WASP,4,Buzzing insect used to be essentially inconspicuous,142
GAWP,4,Watch open-mouthed as clothes shop stocks minimum of wardrobe,142
EGRESS,6,"Exit, say, on ship",142
PUPPET,6,Penny winning favourite doll,142
ETHICS,6,Morality play chastised without sad struggling,142
RUCKUS,6,8 {KERFUFFLE} crowds around centre of Albuquerque,142
EASINESS,8,Facility is seen as corrupt,142
EXECUTED,8,Did river divide Spain and Germany?,142
BESMIRCH,8,Slander often led some to get stuck in tree,142
LIBRETTO,8,Some rotter bilingually recalled all the words in an opera,142
SAGACIOUS,9,Long story about debts showing good judgement,142
KERFUFFLE,9,"King Edward's premier neckwear inlaid with false lace on the edges, leading to brouhaha",142
ICINGSUGAR,"5,5",White powder killing lover,142
CURMUDGEON,10,Crude mungo pants for miser,142
EMASCULATE,10,Sterilise drug-stained clothes second,142
PALIMPSEST,10,Friend is in France stealing devil's manuscript,142
DRAWBRIDGE,10,Castle entrance is dull to besiege with escarpment,142
OUTLANDISH,10,I shouldn't broadcast entertaining article? Preposterous!,142
FELLOWFEELING,"6,7",Lumberjack's work receives modest charge as charity,142
MIDDLEOFTHEROAD,6-2-3-4,Pedestrian where they shouldn't be?,142
OGEE,4,S-shaped arch toughened at regular intervals,143
PARR,4,Young salmon from Argentina caught in Puerto Rico,143
MIEN,4,"Bearing military intelligence, operative slain at last",143
FADY,4,Absolutely nothing extremely dirty or taboo in Madagascan culture,143
ENNEAD,6,Broadcast any commercial in set of 9,143
ECHINI,6,Biotech initiative involving sea urchins,143
UNDINE,6,Water nymph partially found in excavations,143
ACAJOU,6,A Lousianan cut round circle in mahogany wood,143
FULGID,6,"Brilliant solldier died after unsporting behaviour, dropping ball",143
NUMINA,6,"Godlike presences almost unfeeling, essentially providing no answer",143
KABUKI,6,Principal elements of kayfabe and burlesque universally known in Japanese theatre,143
KIRPAN,6,Republican Secretary wearing family's ceremonial weapon carried for religious reasons,143
MARASCA,7,Wild-cherry salt brought west in shakers,143
EQUERRY,7,Echo doubt about king's personal attendant,143
PELAGIC,7,"Pressure rotating strong wind current, cold in the open sea",143
IMPASTO,7,Former love underpinning international master's artistic technique,143
CORSELET,8,My forged-steel body armour,143
QUIDNUNC,8,Gossip with sister about past sovereign?,143
AIRBURST,8,Explosion in passenger jet stopped by resistance on time,143
IDEOGRAM,8,Character's one dog corralling pasture's last farm animal,143
ANALEMMA,8,Pedantic Austen work showing the position of the midday sun through the year,143
GEOPHYTE,8,"Plant with underground food store at edges of granite outcrop, hardy and tuberose",143
APOTHEGM,8,Short statement in annual general meeting about cannabis and hemp ousting politician,143
EUPEPSIA,8,"European Union very quietly accepts drug (with side-effects including addiction!), primarily for good digestion",143
DAMASCENE,9,Gold or silver inlay seen in clog at a spectacle,143
SANHEDRIN,9,Article penned by that woman doctor in high court of Jerusalem,143
ESCADRILLE,10,Aeroplane squadron escape a military training base,143
ZINFANDELS,10,Wines closer to Shiraz in France and Spain—less on the coasts,143
STEM,4,House arrest?,144
SACK,4,Fire managed to avoid loot,144
HOKUM,5,Drone receives decent bunk,144
FARCE,5,Burlesque clubs charging fee,144
SPROG,5,Young kid entertained by news programme,144
KHAKI,5,Ignition device delivered in camouflage fabric,144
NOGGIN,6,Bean beverage with hard liquor,144
RAISIN,6,One dried is caught in downpour,144
PATHOS,6,Poignancy of dad and Thomas saving mum,144
LEAGUE,6,Federation's on-line élite mostly adopting silver uniform,144
INDIGO,6,Sharps arranged out of jazzy rhapsodising in 'Kind of Blue',144
YAKUZA,6,Young adult and sidekick finally turn on South Africa criminal organisation,144
INMATES,7,Cooler fellows?,144
ABANDON,7,Alpha team on leave,144
CASHIERS,8,Search is off for shopworkers,144
MOONRISE,8,Low siren going off in nightly appearance?,144
GUNPOINT,8,Stray pouting over introduction of nose muzzle,144
CATAPULT,8,A valve breaking extremist group's siege weapon,144
AFFLUENT,8,"Top-grade, very loud and fast throttles for everyone wealthy",144
GROUNDHOG,9,"Rum-drinking, cycling badger and marmot",144
UPTOSPEED,"2,2,5",Well-informed and capable of taking methamphetamine,144
TRUMPEDUP,7-2,False president and political party enthralling base,144
MERCURIAL,9,Unpredictable hitman gets bishop taken out in funeral,144
DANCEFLOOR,"5,5",Forced loan restructuring for part of nightclub,144
BLITZKRIEG,10,"Bravo (drunk on the dregs of Shiraz and shellshock) has energy, putting on gear for rapid military offensive",144
CARPETBAGGER,12,Partisan parachuted in?,144
DEUTSCHEMARK,"8,4",Met with archdukes to topple old German capital,144
BARK,4,Lab report?,145
SCAM,4,Take for a ride via small river,145
BATS,4,Crazy article breaks up K-pop group,145
FRAG,4,Force introduces magazine for hand grenade,145
ANKH,4,Symbol of life regularly seen during Hannukah,145
HAHA,2-2,"Ditch husband after having affair, principally",145
CRASS,5,Unrefined chromium-arsenic salt,145
AWARD,5,Prize-fighting featured in commercial,145
BLACK,5,Chess player's loss secured by champion,145
MANGA,5,Guinea spent on fellow's stories from the Far East,145
AFGHAN,6,One extremely flattering Chinese shawl,145
LAMBDA,6,Greek character in comics possessed by Tibetan monk,145
ANNALS,6,Historical record of eighteenth-century queen too abridged,145
HANGAR,6,"Execute leaders of armed rebellion in RAF facility, perhaps",145
DRACHMA,7,Old money in Switzerland attending theatre,145
ATTRACT,7,Draw with a revolutionary Tesla vehicle at races,145
TRACKPAD,8,One touched by dark pact made in error?,145
ARKANSAS,8,State name of boat and cutter for the record?,145
ASWANDAM,"5,3",First man to trap bird in structure on the Nile,145
HARDCASH,"4,4",Hit from dealer (marijuana) for Spooner's ready money?,145
SMASHANDGRAB,5-3-4,Unexpected robbery ruined grandma's bash,145
SCRATCHCARDS,12,"Ducatis regularly crash, getting damaged throttles, motor—chances at a big payout?",145
GRID,4,"Retracted insult about setter's latest crossword, perhaps",146
SECT,4,Splinter group's MO overlooking central part of counterintelligence,146
ODOUR,5,Love shown by bleak bouquet,146
MERGE,5,To marry me takes a little work?,146
ACRID,5,Bitter about king interrupting subsidy,146
INERT,5,Chemically unreactive isomer of nitre?,146
CAPER,5,He doesn't take part in less-fancy hijinks,146
DROLL,5,Farcical revolution supporting dictator at first,146
APING,5,"Acting like a parrot with a short, high-pitched sound",146
PSYOP,5,Loss covered up in unusually sloppy military initiative,146
PUPILS,6,Students make a mistake in recess,146
OODLES,6,Plenty of dogs but no leader of pack,146
GARISH,6,Ostentatious knight spurns ornamentation,146
SEADOG,"3,3","Jack goes and gets wasted, downing last of gin",146
NAPHTHA,7,Hot pan overturned with a lot of that flammable oil,146
BORSTAL,7,Youth detention centre's staff are essentially cut off?,146
WELLREAD,4-4,Cultivated yellow dye to clothe oddball earl,146
STOWAWAY,8,"Second politician takes Washington twice, ousting Republican free-rider",146
HEYPRESTO,"3,6",Magic words in poetry she composed,146
OPPRESSOR,9,Tyrant's circle prospers after revolt,146
ELECTORAL,9,Sort of roll created to yield lists of registered!,146
HERODOTUS,9,Sub introduces 500 books by American historian of old,146
EASTEREGG,"6,3",Segregate rotting chocolate that was last bought in spring,146
LIGHTYEAR,5-4,Leaders step down in Britain and suffer for extremely long span,146
AFTERWARD,9,Manifesto's conclusion overwritten by article in postscript later,146
INTHEZONE,"2,3,4",Focused on stopping extreme parts of terrible Heinz restructuring,146
PENMANSHIP,10,"Spirit clinging to shaking, mannish hand",146
HOROLOGIST,10,Sweet soldier employed by army watchmaker,146
ATLOGGERHEADS,"2,11",The dagger also forged in battle,146
GOBIGORGOHOME,"2,3,2,2,4",Desert monster finally slain in daredevil's anthem,146
DUD,3,Faulty item's rarely underused,147
SUS,3,Dishonest-looking sort of triad,147
NOSH,4,Theatre includes salt in snacks,147
REIN,4,Check report of miserable weather,147
TIMID,5,Shy guy verges on infatuated,147
KENDO,5,Martial art practice beyond bloke,147
SIDLE,5,Dude covering for laughable creep,147
PERCH,5,Place to sit for each pair of children,147
SPITE,5,Power sharing: grounds for resentment?,147
RONDO,5,Fellow to carry out football training drill,147
DANISH,6,European dude is hot,147
EDITOR,6,Geezer put back flatbread for one cutting?,147
INKPOT,6,Source of writing in margins of kinship books,147
DEMOBS,6,Disbands troops in political protest over nonsense,147
ANODYNE,7,Annoyed about being dull,147
TOSTADA,7,Tortilla with a lot of rhubarb—voilà!,147
BENIGNLY,8,Chap lying terribly without malice,147
MARKSMAN,8,Man near Senegal employing Morocco sharpshooter,147
FINESSED,8,"Cleverly manipulated payments as the steward, ultimately",147
OBVIATED,8,"Made unnecessary hullaballo in the end, by going into bad debt",147
TEDIOUSLY,9,Guy knowing about debt in a boring way,147
SCRIMMAGE,9,Fight wizard near South Carolina border,147
HUNKYDORY,5-4,"Fine, sexy man with Yankees holding bat up",147
STEVEDORE,9,Bloke beginning to fall in love with dockworker,147
VICESQUAD,"4,5",Police department's chap is in Spain before court,147
SEANYMPHS,9,Water spirits in cove with setter abandoning capsized ship—oh dear!,147
REPRIMANDS,10,Denouncements of Spider-Man wrongly supporting resistance,147
AMMUNITION,10,First-class resistance discovered on Moon with no military supplies,147
ALPHABETISATION,15,Gent arranged Ethiopian bats in lexicographic order,147
EXE,3,Picked up old flame's flower,148
NAY,3,Vote in a supermajority at last,148
NOOK,4,Unacceptable to waste time in cubbyhole,148
TRIO,4,"Abundant rioja, in part, leads to threesome",148
GRIFT,5,Fraud is present involving Republican,148
BLASE,5,Unconcerned with abrupt explosion on base,148
JUROR,5,Magician drops con for one of twelve peers,148
MISER,5,Skinflint's contribution to consortium is erratic,148
ESCORT,6,Chaperone adjusted corset,148
SNEEZE,6,Second-born receives easy opportunity for blessing?,148
RUNDOWN,3-4,Shabby analysis,148
CONQUER,7,Appropriate chestnut from speaker,148
SIDEEYE,4-3,Judgemental look from team I gathered,148
INNINGS,7,Chance to score jackpot with no whiskey,148
PERIPERI,4-4,Chilli sauce doubled in each invitee's starter,148
CLEMENCY,8,Mercy shown by soldiers stopping wretched cycle,148
INCISIVE,8,"Ring bared on the same side, above setter's piercing",148
CHARMING,8,Switzerland providing military support to fairytale prince,148
BANJOISTS,9,Prohibit supporters for folk musicians,148
SHANGRILA,7-2,Girl has an outrageously perfect place to live,148
BLANCMANGE,10,"Cook can gamble, including nitrogen in dessert",148
STRUCTURAL,10,"Street in the countryside houses cut-off, concerning building",148
DAYDREAMER,10,One building castles in Spain repurposed ready-made source of rubble,148
INHERENTLY,10,"By its very nature, fashionable hotel at Ely receives regular payment from lodgers",148
LEAVEINTHELURCH,"5,2,3,5",Repair vehicle a hunter left in desert,148
TOOCLEVERBYHALF,"3,6,2,4",Overconfident soprano abandons flamboyant bass to party with eccentric geezer making a comeback,148
ARMCHAIRGENERAL,"8,7",One pontificating on military strategy blasted Charlemagne for ultimately getting stuck with state,148
NADA,4,Alan-a-Dale contributes nothing,149
DIVA,4,Prima donna's eager to make a comeback,149
RECON,5,Surveillance on criminal,149
IDEAL,5,Optimal trade supports Italy,149
LIMIT,5,"Drunk, without setter's restraint",149
ALLOT,5,Share everything with drunkard off their head?,149
VESTRY,6,Church room is really about saint,149
HAIRDO,6,Difficult to impress setter with no style,149
HITTHEHAY,"3,3,3","After greeting dry ambassador with a pleasantry, finally go to bed",149
RAMSHACKLE,10,Tumble-down hut located in poor realm,149
IDOLATRESS,10,Image-obsessed woman synthesised estradiols,149
INDUECOURSE,"2,3,6",Unicode sure to break eventually,149
DISGRUNTLED,11,Second soldier left among deceased is annoyed,149
TEETOTALERS,11,Those who won't take a shot in football regularly seen in reels,149
FOOLSERRAND,"5,6",Futile endeavour from Foreign Office department principally involving New Orleans,149
HAIR,4,Shock from hydrogen gas,150
MOJO,4,Nearly-full moon suppressing Jack's magical power,150
CHOUX,5,"Go away, getting said dough",150
PIQUE,5,Dictator's maximum displeasure,150
PASTA,5,Dad's at front of train with first-class fare,150
RANON,5,King and unnamed author kept talking and talking,150
JOTUN,5,Jacobite queen regularly viewed as an enemy of the gods?,150
TIARA,5,Teaching assistant entertains setter with augmented-reality headpiece,150
ALKALI,6,Part of talk alienated base,150
DAMSON,6,Curse after eating partner's fruit,150
COCCYX,6,"Get ready to fire 6 on air, showing a bit of backbone",150
IMPART,6,Divulge military intelligence about secretary at Russia Today,150
JACKPOT,7,Steal dope kitty,150
HAYWIRE,7,Out-of-control Spooner's much drunker,150
YUCATAN,7,Feline found in China's green peninsula,150
INSIDER,7,Member of staff in minidress stripped clumsily,150
DIMINISH,8,Make small talk about setter's latest,150
TEXTBOOK,8,"Old disease, spreading, took 19 {EXEMPLARY}",150
ESOTERIC,8,"Recite novel, coming across very hard to understand",150
CHUTZPAH,8,Audacity of Switzerland state arresting Zurich population's leaders,150
PARAMOUNT,9,Leading soldier rides horse,150
ROUGHSHOD,9,Domineering way to get dosh?,150
KITSCHIER,9,Criminal is thicker and less sophisticated,150
HONEYCOMB,9,My cob toasted under perfect layer of sweetness,150
TOODLEPIP,6-3,Main treasure including diamonds held back for so long,150
ADVERSARY,9,Opponent's cut part of speech before it borders on reactionary,150
QUATRAINS,9,50% of quango supported by locomotives in groups of four lines,150
EXEMPLARY,9,Flawless woman free of sin takes place beside former wife at last,150
PHOTOJOURNALIST,15,Reporter's pretty sexy stopover going topless with celebrities,150
SERENDIPITOUSLY,15,Perilous destiny rewritten by a conveniently-timed stroke of luck,150
LIMO,4,"Car with learner driver, I think",151
CYAN,4,Extreme parts of constituency abandon blue,151
EWES,4,Take advantage of said members of the flock,151
UTURN,1-4,Heard Aussie truck make manoeuvre,151
RANDO,5,Complete stranger seen in outskirts of Reno?,151
CYNIC,5,Section of fancy nickelodeon for world-weary sort?,151
ONEUP,3-2,Best publishing house suppresses new editions at first,151
AMOUNT,6,Measure first-class horse,151
THRUSH,6,Tenor right to interrupt quiet singer,151
MADCAP,6,Impulsive cartographer's drawing outlines a capital city,151
DAPPER,6,Well-dressed salesperson and secretary start to double up,151
TABLETOP,8,"Surface, perhaps on which work is put!",151
PRISTINE,8,Perfect box opened by crowbar? On the contrary!,151
INIMICAL,8,Hostile industry's leader claiming cut after reshuffle,151
VARIANCE,8,Very American novel lacking modicum of meaningful diversity,151
AGINCOURT,9,Battle with a spirit at royal household,151
OVERBOARD,9,Part of speech in castle was essentially way too much,151
CUNEIFORM,9,Reminder to teach neuter earlier in ancient writing system,151
CLEARANCE,9,"Opportunity to install king, overriding church's last blessing",151
ASTRONOMER,10,"Rooster man cooked in Celsius, perhaps",151
SACROSANCT,10,"Co-stars can upset, being beyond criticism",151
UNDERSCORE,10,"Write too little music in line, for emphasis?",151
DAISYCHAIN,"5,5",Connect electronics platform with Yang's partner over tea,151
TENPINBOWLING,"6,7",Dish devoured by 10 craving Skittles,151
POETICJUSTICE,"6,7",Horror author (jerk) moral to kill—that's karma,151
LONESTARSTATE,"4-4,5",Look at console with sailors at art gallery in Texas,151
DOADISSERVICE,"2,1,10",New discoveries about origins of Athenian democracy cause harm,151
WACK,4,Messed up report of strike,152
FAIR,4,Light-coloured fluorine gas,152
RUHR,4,German banker texted query to personnel to confirm their identity,152
OFFER,5,Volunteer hitman?,152
LARCH,5,Wood in large bridge,152
INANE,5,Pointless and mad to take speed,152
ARENA,5,Extract from Shakespeare narrated in concert venue,152
AUGUR,5,Fortune-teller in Australia interrupted spiritual master,152
COGNAC,6,"Brandy might become cold, on reflection",152
FRIEND,6,Connection short-circuited when poked by tip of needle,152
FREESIA,7,Plant liberates Iowa,152
RHUBARB,7,Said to regret insult in angry exchange,152
VANDYKE,7,Hairstyle both sides in very important cut?,152
DEVIANT,7,One who might put people off through boring impression,152
IDITAROD,8,Some avoid it—a rodeo contest in Alaska,152
FALSEFLAG,"5,4",Military operation's all gaffes somehow,152
CUTANDRUN,"3,3,3","Flee from copper on beat, not quite wasted",152
PONDEROUS,9,Finishing touches in confection rendered cake filling spongy and weighty,152
INABSENTIA,"2,8",Resolve innate bias while away,152
MESMERISED,10,Fascinated setter with kinky sex and redirected passion,152
MARIONETTE,10,One manipulated king and two units to invade without polish,152
CANISMAJOR,"5,5",Broken aircon constrains impromptu performances—setback for stars,152
DELIBERATING,12,Carefully considering criticism of processed meat and cheese?,152
TURNSABLINDEYE,"5,1,5,3",Pretends not to see industry enable riots,152
GUYFAWKESNIGHT,"3,6,5",Drunk fun with egg and whisky at annual celebration,152
ION,3,Charged particle of nitrogen found on Moon,153
GAIA,4,Country in Africa from which the Doctor leaves Earth,153
ALOFT,5,Craft float into the air,153
SUNNY,5,Bright young boy in audition,153
MILKY,5,Cloudy heavens limiting variety,153
MISER,5,One giving nothing away about simulation setback,153
REALM,5,World's source of magma covered by half of 4 {VENEREAL},153
AEONS,5,Sun moved regularly with acceleration over vast lengths of time,153
BEAGLE,6,Exploratory vessel #12 {DOG},153
KIMCHI,6,Energy shown by host greeting Korean side,153
JOVIAL,6,"Buoyant oxygen inhaled by Jack using ventilators, essentially",153
RUNDRY,"3,3","Peter out in rocket using nuclear drive recklessly, yawing at first",153
LUNATIC,7,Madman in a cult going off the rails,153
CONTROL,7,Power's disadvantage: getting lots of abuse online,153
MARTIAL,7,"Type of law described by planetarium art, I alleged",153
STARDOM,7,Ministry of Defence informants brought up celebrity,153
DOGDAYS,"3,4",Shadow and fog reported when Sirius shines at sunrise?,153
TAILSPIN,8,Catastrophic fall 12 {DOG} seconds before fix,153
STRONGER,8,More durable way to do without hydrogen finally,153
LABOHEME,"2,6",Dramatic performance with 12 {DOG}-0 edge at end of game,153
VENEREAL,8,"Against space exploration, principally, and material pertaining to it?",153
SATURNINE,9,Taciturn soprano discovered aged 9,153
CAESARIAN,9,Delivery from Canaries set off around middle of day,153
MERCURIAL,9,Unpredictable miracle managed to protect ancient city,153
ASANDWHEN,"2,3,4","Looking shocked that, somehow, dawn breaks in due course",153
PROTRUSIVE,10,Sticking up for unusual virtues?,153
SYNONYMOUS,10,Moon and Sun meandering at speed over two years and coinciding,153
UNIVERSALLY,11,Wreck in survey about everything everywhere,153
ROBBERBARON,"6,5","Elon Musk, perhaps, repeatedly made a mockery of ore ban",153
BLAB,4,Black dog's squeal,154
MINK,4,Animal with dark fur in masculine tattoo,154
CEDE,4,"Formally give up children, according to reports",154
ARIA,4,Solo number from West Side Story no longer minor?,154
EXPAT,5,One living abroad in gorge embracing experience?,154
DOOZY,5,"Party with half-hearted ""Prince of Darkness"" is something amazing",154
SOOTHE,6,Console that man after Ashes?,154
PALLID,6,Spent over fifty large for pasty,154
YARROW,6,Daisy's relative shot with slingshot,154
PONCHO,6,Component of pick-up on chorister's cloak,154
RESTRAINT,9,Check others taking locomotive,154
MAJORDOMO,9,Master Jack on way through castle with second butler,154
INNOVATION,10,Novelty pub with cheer,154
ABOVEBOARD,10,Honest bravado somehow wins revolutionary award,154
ORCHESTRATE,11,Arrange gold lockbox fee,154
MEMORABILIA,11,Mike refurbished mobile with 14 {ARIA} souvenirs,154
PLEW,4,Ample wardrobe features beaver pelt,155
NEWB,4,Novice from Interweb oddly forgotten,155
OHNO,"2,2",Castle invaded by heartless Hun—how awful!,155
KPOP,1-3,Finale of funk piano opus in Asian musical genre,155
ITTY,4,Pool of money after discarding king is really small,155
JEDI,4,"In France, setter meets princess and knight at the movies?",155
KUDO,4,Bit of appreciation for everyone involved in ketamine party,155
AXER,4,Ruthless HR manager perhaps less strict after leader steps down,155
DEMOED,6,Showed off second boring act,155
DROIDS,6,Medic with zero official documents for robots,155
BOGMAT,6,"Duckweed in Gambia collected by canoe, possibly",155
MUMBAI,6,Silent film of Bhagavad-Gita set near India's city,155
TOPEKA,6,Best thousand immigrating into each city in Kansas,155
FREYJA,6,"Yes, Jack gets in the way of almost entirely unexpected goddess",155
GELCAP,6,Secretary and deputy PM almost retired—an easier pill to swallow?,155
DIEPPE,6,Get killed with protective equipment in French port where the Allies lost in World War II,155
LAWYERUP,"6,2","Prepare for battle, purely out to secure a win",155
BENNEVIS,"3,5",Mountain with terrible vibes around north Nebraska,155
FREEMIUM,8,US abandons shambolic Fire Museum's business model,155
ARCIFORM,8,Cuba provided gold to line weapon in the shape of a bow,155
BRIDESTOBE,6-2-2,Best to save free award for fiancées,155
INARGUABLE,10,Certain criminal Bulgarian free at last,155
INFULLVIEW,"2,4,4",Unveil Wilf in performance for all to see,155
UNDERWRAPS,"5,5",Ward nurse somehow taking power in secret,155
ALMSGIVERS,10,A food additive found in vital organs for donors,155
TOTHEWINDS,"2,3,5","Child fell in with bad guys, ultimately getting abandoned",155
EXTRALEGAL,10,"Turkey eaten by old flame, bitter lady outside the bounds of law",155
GLUTENFREE,6-4,"Joy seizes truck with Newfoundland source of rice-like buckwheat, for instance",155
AXE,3,Ash over by fire,156
RUM,3,Ferret scratches mage,156
BUS,3,Almost bankrupt public transport,156
GIN,3,Martial arts uniform finally worn,156
CHUG,4,Drink's cold embrace,156
SARI,4,Astaire in evening dress?,156
VODKA,5,Victor should take part on a regular basis,156
IDLES,5,"After cycling, creep keeps the engine ticking over",156
SCOTCH,6,Switzerland supports local tax,156
COBALT,6,Revolver lined with barium metal,156
WHISKY,6,Implement final part of strategy,156
WHINGE,6,Hard-to-stick shot clipped grouse,156
ORANGE,6,Nothing resonated with base colour,156
BRANDY,6,Times covering South African capital,156
MEZCAL,6,Food containing traces of zinc and copper,156
RISQUE,6,Selection from couturier is questionably blue,156
EARTHY,6,Ribald painting displayed in Bletchley regularly,156
LAVABO,6,Red flower with bad smell used for cleansing ritual,156
CHICAGO,7,City in a pass,156
TEQUILA,7,Pen nearly dipped in drink,156
GOULASH,7,Try and put endless batter in stew,156
ALCAZAR,7,Alabama emperor besieging a fortress,156
